ar15,pidlink,ar09,hhid00,protestant,catholic,muslim,religion_other,sc01,sc05,commid00,rural,n_sumatra,w_sumatra,s_sumatra,lampung,jakarta,c_java,yogyakarta,e_java,bali,w_nussa_tengara,s_kalimanthan,s_sulawesi,lwages,edu,upsec,une_p,ele_p,sec_p,missing_p,une_m,ele_m,sec_m,missing_m,dist_sec,exp,dist_health
1,003121101,29,0031211,0,0,1,0,12,2,1203,1,1,0,0,0,0,0,0,0,0,0,0,0,7.0355887,9,0,1,0,0,0,1,0,0,0,1,4000,.5
1,003240002,35,0032400,0,0,1,0,12,2,1203,1,1,0,0,0,0,0,0,0,0,0,0,0,8.2295113,12,1,0,0,1,0,0,0,1,0,1,4000,.5
1,003300002,46,0033000,0,0,1,0,12,2,1203,1,1,0,0,0,0,0,0,0,0,0,0,0,7.130899,11,1,0,1,0,0,0,0,0,1,1,4000,.5
1,003240002,35,0032431,0,0,1,0,12,2,1203,1,1,0,0,0,0,0,0,0,0,0,0,0,8.2295113,12,1,0,0,1,0,0,0,1,0,1,4000,.5
1,003153101,26,0031531,0,0,1,0,12,2,1203,1,1,0,0,0,0,0,0,0,0,0,0,0,7.0539379,12,1,0,1,0,0,0,1,0,0,1,4000,.5
1,016040005,30,0160431,0,0,1,0,12,2,1204,1,1,0,0,0,0,0,0,0,0,0,0,0,7.0131159,2,0,1,0,0,0,1,0,0,0,2,3000,0
2,015180001,41,0151800,1,0,0,0,12,1,1204,0,1,0,0,0,0,0,0,0,0,0,0,0,8.6831779,16,1,0,0,0,1,0,1,0,0,2,3000,0
1,017120001,38,0171200,0,0,1,0,12,2,1204,1,1,0,0,0,0,0,0,0,0,0,0,0,7.418581,1,0,1,0,0,0,0,0,0,1,2,3000,0
1,181120001,34,1811200,0,0,1,0,12,2,1204,1,1,0,0,0,0,0,0,0,0,0,0,0,7.4875736,6,0,0,0,0,1,0,0,1,0,2,3000,0
2,004160001,34,0041600,1,0,0,0,12,2,1206,1,1,0,0,0,0,0,0,0,0,0,0,0,7.2362595,12,1,1,0,0,0,1,0,0,0,3,1700,0
2,004200001,34,0042000,1,0,0,0,12,2,1206,1,1,0,0,0,0,0,0,0,0,0,0,0,7.9294066,12,1,0,1,0,0,0,0,1,0,3,1700,0
2,004220010,30,0042200,1,0,0,0,12,2,1206,1,1,0,0,0,0,0,0,0,0,0,0,0,7.1998916,9,0,0,1,0,0,0,0,0,1,3,1700,0
2,004050001,36,0040500,1,0,0,0,12,2,1206,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5580149,14,1,1,0,0,0,1,0,0,0,3,1700,0
1,005110003,33,0051111,0,0,1,0,12,2,1207,1,1,0,0,0,0,0,0,0,0,0,0,0,7.8240461,11,1,0,0,0,1,0,0,0,1,.30000001,2500,0
1,005150001,31,0051500,0,0,1,0,12,2,1207,1,1,0,0,0,0,0,0,0,0,0,0,0,7.8579473,12,1,0,0,1,0,0,1,0,0,.30000001,2500,0
1,005060001,42,0050600,0,0,1,0,12,1,1207,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8240461,3,0,0,0,0,1,1,0,0,0,.30000001,2500,0
1,003031201,28,0030312,0,0,1,0,12,1,1207,0,1,0,0,0,0,0,0,0,0,0,0,0,9.9724808,12,1,0,0,1,0,1,0,0,0,.30000001,2500,0
1,005010003,34,0050100,0,0,1,0,12,1,1207,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3540425,12,1,0,1,0,0,0,1,0,0,.30000001,2500,0
2,005010003,34,0050131,1,0,0,0,12,1,1207,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3540425,12,1,0,1,0,0,0,1,0,0,.30000001,2500,0
1,005100001,34,0051000,0,0,1,0,12,1,1207,0,1,0,0,0,0,0,0,0,0,0,0,0,7.6417246,3,0,1,0,0,0,0,0,0,1,.30000001,2500,0
1,005110003,33,0051100,0,0,1,0,12,1,1207,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8240461,11,1,0,0,0,1,0,0,0,1,.30000001,2500,0
1,005130001,34,0051300,0,0,1,0,12,1,1207,0,1,0,0,0,0,0,0,0,0,0,0,0,7.9575772,4,0,1,0,0,0,1,0,0,0,.30000001,2500,0
1,018190005,53,0181900,0,0,1,0,12,2,1208,1,1,0,0,0,0,0,0,0,0,0,0,0,5.3391395,6,0,0,0,0,1,0,0,0,1,1.5,500,.5
2,020063101,25,0200631,1,0,0,0,12,1,1208,0,1,0,0,0,0,0,0,0,0,0,0,0,8.3907795,12,1,0,0,1,0,0,1,0,0,1.5,500,.5
1,008243101,25,0082431,0,0,1,0,12,2,1208,1,1,0,0,0,0,0,0,0,0,0,0,0,7.5727315,9,0,0,1,0,0,0,1,0,0,1.5,500,.5
2,006140001,49,0061400,1,0,0,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,7.0539379,6,0,0,1,0,0,0,1,0,0,1.5,1000,.30000001
2,007030006,28,0070300,1,0,0,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,7.0931587,12,1,1,0,0,0,0,0,0,1,1.5,1000,.30000001
2,006060001,42,0060600,1,0,0,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,7.3466072,8,0,1,0,0,0,0,1,0,0,1.5,1000,.30000001
1,006200001,50,0062000,0,0,1,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,7.1677127,9,0,0,0,0,1,0,0,0,1,1.5,1000,.30000001
2,007150003,26,0071500,1,0,0,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,7.9110575,6,0,1,0,0,0,0,0,0,1,1.5,1000,.30000001
1,006170001,46,0061700,0,0,1,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,6.6608953,5,0,0,0,0,1,0,0,0,1,1.5,1000,.30000001
1,006080001,38,0060800,0,0,1,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,7.3540425,6,0,0,0,0,1,0,0,0,1,1.5,1000,.30000001
1,006090001,40,0060900,0,0,1,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,7.130899,6,0,0,1,0,0,1,0,0,0,1.5,1000,.30000001
1,008070001,47,0080700,0,0,1,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,7.2016678,6,0,0,0,0,1,0,0,0,1,1.5,1000,.30000001
1,008250003,28,0082500,0,0,1,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,6.4377518,6,0,1,0,0,0,1,0,0,0,1.5,1000,.30000001
1,006190001,39,0061900,0,0,1,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,6.976748,4,0,0,0,0,1,0,0,0,1,1.5,1000,.30000001
1,008170005,28,0081700,0,0,1,0,12,2,1209,1,1,0,0,0,0,0,0,0,0,0,0,0,8.8048754,12,1,1,0,0,0,1,0,0,0,1.5,1000,.30000001
